N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
124,롯데쇼핑,"84,500",900,-1.05%,"5,000","23,904","28,289",11.26,"48,868",-8.98,-7.70,
125,CJ,"81,800","1,900",-2.27%,"5,000","23,867","29,177",17.39,"39,434",70.88,1.89,
126,한화에어로스페이스,"46,400","1,300",-2.73%,"5,000","23,492","50,630",17.17,"438,852",8.42,4.78,
127,현대차우,"93,700","1,900",-1.99%,"5,000","22,822","24,357",58.58,"23,066",4.75,N/A,
128,두산퓨얼셀,"34,650","1,050",-2.94%,100,"22,694","65,494",13.69,"344,862",693.00,4.18,
129,대우조선해양,"21,150",300,-1.40%,"5,000","22,692","107,291",4.70,"212,583",-1.53,2.27,
130,대우건설,"5,430",170,-3.04%,"5,000","22,568","415,623",10.94,"1,697,534",4.61,11.06,
131,SK케미칼,"125,500","3,000",-2.33%,"5,000","22,114","17,621",17.81,"60,552",59.82,30.49,
132,DL이앤씨,"112,500","2,000",-1.75%,"5,000","21,779","19,359",22.94,"103,389",N/A,N/A,
133,녹십자,"185,000","3,000",-1.60%,"5,000","21,620","11,687",22.99,"22,586",25.06,7.48,
134,한화,"28,750",450,-1.54%,"5,000","21,551","74,959",15.74,"197,195",4.86,4.79,
135,만도,"45,150","2,150",-4.55%,"1,000","21,201","46,957",18.64,"504,252",9.51,0.37,
136,OCI,"88,300","2,600",-2.86%,"5,000","21,059","23,849",15.16,"165,534",10.53,-9.89,
137,TIGER 200,"36,750",500,-1.34%,0,"20,488","55,750",0.35,"1,231,892",N/A,N/A,
138,농심,"335,500","1,000",+0.30%,"5,000","20,407","6,083",12.77,"27,531",19.12,7.50,
139,KODEX MSCI Korea TR,"11,845",185,-1.54%,0,"20,089","169,600",11.66,"539,296",N/A,N/A,
140,현대로템,"18,350",500,-2.65%,"5,000","20,028","109,142",3.56,"476,526",63.94,2.84,
141,영원무역,"45,150",600,-1.31%,500,"20,007","44,311",28.26,"99,424",8.68,8.03,
142,씨에스윈드,"47,400","1,700",-3.46%,500,"19,989","42,171",11.42,"208,589",43.01,8.19,
143,KODEX 레버리지,"20,165",575,-2.77%,0,"19,883","98,600",2.25,"20,849,019",N/A,N/A,
144,롯데정밀화학,"75,000",700,-0.92%,"5,000","19,350","25,800",21.37,"142,610",4.54,12.65,
145,휠라홀딩스,"31,850",150,-0.47%,"1,000","19,350","60,752",43.75,"245,847",8.23,10.94,
